 0.06481481481481484 -1.1883257154726927
talk.politics.misc 0.3117283950617285 -0.5062236364239694
talk.politics.guns 0.3117283950617285 -0.5062236364239694
talk.politics.mideast 0.3117283950617285 -0.5062236364239694
waste  0.14285714285714282 -0.8450980400142569
com  0.14285714285714282 -0.8450980400142569
how  0.14285714285714282 -0.8450980400142569
your  0.14285714285714282 -0.8450980400142569
cheaper  0.14285714285714282 -0.8450980400142569
israel  0.14285714285714282 -0.8450980400142569
gun  0.14285714285714282 -0.8450980400142569
waste talk.politics.misc 0.007299270072992702 -2.1367205671564067
com talk.politics.misc 0.8832116788321169 -0.05393519683995662
how talk.politics.misc 0.5912408759124088 -0.22823554827775694
your talk.politics.misc 0.22627737226277375 -0.645358873322134
cheaper talk.politics.misc 0.22627737226277375 -0.645358873322134
israel talk.politics.misc 0.007299270072992702 -2.1367205671564067
gun talk.politics.misc 0.007299270072992702 -2.1367205671564067
waste talk.politics.guns 0.009345794392523362 -2.0293837776852097
com talk.politics.guns 0.19626168224299062 -0.7071644829512904
how talk.politics.guns 0.009345794392523362 -2.0293837776852097
your talk.politics.guns 0.2897196261682242 -0.5380220838509371
cheaper talk.politics.guns 0.009345794392523362 -2.0293837776852097
israel talk.politics.guns 0.009345794392523362 -2.0293837776852097
gun talk.politics.guns 1.130841121495327 0.053401592631240336
waste talk.politics.mideast 0.14285714285714285 -0.8450980400142568
com talk.politics.mideast 0.012987012987012988 -1.8864907251724818
how talk.politics.mideast 0.27272727272727276 -0.5642714304385625
your talk.politics.mideast 0.012987012987012988 -1.8864907251724818
cheaper talk.politics.mideast 0.012987012987012988 -1.8864907251724818
israel talk.politics.mideast 1.311688311688312 0.11783064861016079
gun talk.politics.mideast 0.012987012987012988 -1.8864907251724818
